bikeid,tripduration_mins_sum
2698,494.6
2699,147.6
2704,717.17
2707,419.33
2708,1034.4
2710,1137.66
2712,600.16
2713,213.81
2714,54.17
2715,307.82
2716,25.07
2717,574.39
2718,87.57
2719,104.72
2720,866.8
2726,725.94
2727,321.87
2728,177.22
2729,831.12
2732,5952.74
2733,270.19
2734,731.43
2738,194.31
2742,890.63
2744,321.31
2745,366.18
2747,954.56
2748,678.55
2749,419.47
2750,1152.48
2751,260.96
2752,8453.11
2754,583.37
2755,56.48
2756,705.32
2757,765.28
2758,694.76
2759,300.29
2760,773.61
2761,616.65
2762,696.75
2763,361.03
2764,119
2767,915.94
2768,434.26
2769,43.38
2771,46.54
2773,340.29
2774,594.07
2777,1013.56
2778,185.45
2780,895.01
2781,121.57
2782,644.85
2783,393.63
2785,1829.7
2786,798.17
2787,825.84
2789,347.91
2790,608.59
2791,523.02
2794,658.92
2797,714.8
2799,477.51
2801,855.42
2802,363.86
2804,1012.28
2805,366.61
2806,516.02
2808,443.99
2809,1719.07
2810,546.47
2811,234.07
2813,729.27
2814,661.27
2815,660.8
2816,732.79
2818,563.61
2819,343.34
2820,352.57
2821,2077.08
2822,51.55
2823,471.84
2824,995.66
2828,829.36
2829,440.27
2830,631.33
2831,644.01
2832,676.12
2833,13667.21
2834,512.5
2835,116.43
2837,657.41
2839,765.66
2840,332.85
2842,529.78
2843,327.99
2844,817.34
2845,377.15
2846,246.74
2847,679.29
2848,579.5
2849,642.21
2850,5126.57
2852,607.14
2853,383.77
2856,945.54
2859,463.11
2860,672.41
2861,801.44
2863,407.06
2864,116.29
2867,561.32
2869,882.58
2870,687.34
2871,1365.92
2872,1103.22
2873,469.29
2874,684.86
2875,506.99
2876,131.06
2878,9.08
2879,71.33
2881,730.13
2883,189.02
2886,164.56
2888,57.93
2891,199.72
2892,526.49
2894,11.97
2895,554.16
2898,903.09
2900,514.93
2901,657.46
2902,391.23
2903,649.13
2904,254.34
2907,609
2910,535.61
2911,779.05
2915,886.8
2917,519.95
2918,778.05
2920,546.16
2921,459.51
2922,524.95
2924,481.44
2926,656.38
2927,209.71
2928,168.94
2929,689.23
2930,389.92
2931,1026.22
2932,2297.56
2935,471.31
2936,546.62
2938,819.29
2939,419.26
2940,862.11
2942,977.92
2943,400.01
2945,846.73
2948,579.62
2952,596.93
2953,11834.23
2954,651.83
2956,778.47
2957,368.05
2959,654.15
2960,1.45
2961,717.88
2962,677.76
2965,621.43
2966,493.54
2967,681.48
2969,24.29
2972,1277.57
2975,543.15
2976,905.13
2977,795.25
2978,360.77
2979,73.48
2980,272.82
2985,205.13
2987,496.22
2990,870.78
2991,653.46
2992,176.79
2995,219.51
2996,496
2997,478.96
3000,662.05
3001,610.76
3004,559.7
3006,68.26
3007,766.43
3010,710.44
3011,912.37
3012,166.15
3013,345.2
3014,273.47
3016,537.59
3017,546.57
3018,4587.98
3023,602.4
3024,230.08
3025,91.55
3027,724.49
3028,585.39
3029,227.86
3030,552.23
3031,615.99
3032,1793.45
3033,299.64
3034,443.84
3035,263.85
3037,948.34
3042,524.15
3043,154.32
3044,135.08
3045,749.51
3046,318.41
3048,969.26
3049,394.94
3051,686.49
3055,672.64
3056,373.39
3058,769.08
3061,356.68
